title,categoryName,description,price,totalScore,reviewsCount,imagesCount,address,neighborhood,street,city,postalCode,state,website,phone,location.lat,location.lng,openingHours,reviewsDistribution.oneStar,reviewsDistribution.twoStar,reviewsDistribution.threeStar,reviewsDistribution.fourStar,reviewsDistribution.fiveStar,Features,price_numeric,High Rated,Reservations,Parking,Delivery,Outdoor Seating,Takeout,Vegetarian Options,Wheelchair Accessible,Family Friendly,Pet Friendly
080 International Lounge - Bangalore Airport,International        ,,,3.5,3.0,,"Kempegowda International Airport Bengaluru Level – 1, Bengaluru 560300 India",Kempegowda International Airport Bengaluru Level – 1,Kempegowda International Airport Bengaluru Level – 1,Bengaluru,560300,Karnataka,,+91 86575 41678,13.070601,77.791855,,,,,,,                            ,300.0,0.0,0,0,0,0,0,0,0,0,0
1 Bar House Kitchen (1BHK),Restaurant,,"₹600–1,800",4.3,3401.0,3196.0,"56, Raj villa, 5th cross, 60 Feet Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560095, India","KHB Colony, 6th Block, Koramangala","56, Raj villa, 5th cross, 60 Feet Rd",Bengaluru,560095.0,Karnataka,,+91 95914 26566,12.9365488,77.6211321,"[{'day': 'Monday', 'hours': '12 to 11:45\u202fPM'}, {'day': 'Tuesday', 'hours': '12 to 11:45\u202fPM'}, {'day': 'Wednesday', 'hours': '12 to 11:45\u202fPM'}, {'day': 'Thursday', 'hours': '12 to 11:45\u202fPM'}, {'day': 'Friday', 'hours': '12 to 11:45\u202fPM'}, {'day': 'Saturday', 'hours': '12 to 11:45\u202fPM'}, {'day': 'Sunday', 'hours': '12 to 11:45\u202fPM'}]",142.0,102.0,251.0,905.0,2001.0,Accepts reservations | Alcohol | All you can eat | Bar onsite | Beer | Breakfast | Brunch | Brunch reservations recommended | Casual | Cocktails | Coffee | Counter service | Cozy | Credit cards | Debit cards | Delivery | Dessert | Dine-in | Dinner | Dinner reservations recommended | Family-friendly | Free parking lot | Free street parking | Good for kids | Google Pay | Great beer selection | Great dessert | Great wine list | Groups | Halal food | Happy hour drinks | Hard liquor | Healthy options | High chairs | Kids' menu | Late-night food | Live music | Lunch | Lunch reservations recommended | NFC mobile payments | No-contact delivery | Onsite services | Organic dishes | Outdoor seating | Paid parking lot | Private dining room | Quick bite | Reservations required | Restroom | Romantic | Rooftop seating | Salad bar | Seating | Small plates | Solo dining | Table service | Takeout | Trendy | Upscale | Usually plenty of parking | Valet parking | Vegan options | Vegetarian options | Wheelchair accessible entrance | Wheelchair accessible restroom | Wheelchair accessible seating | Wine,1200.0,1.0,1,1,1,1,1,1,1,1,0
"1 By 2, Veg Restaurant",        ,,,3.0,1.0,,"67 8'th Main Road Vasanthnagar, Bengaluru 560052 India",67 8'th Main Road Vasanthnagar,67 8'th Main Road Vasanthnagar,Bengaluru,560052,Karnataka,,+91 97407 12746,13.05867,77.56542,,,,,,,                            ,300.0,0.0,0,0,0,0,0,0,0,0,0
100 ft,Italian Mediterranean       ,,,4.0,112.0,,"777/I 100 Ft Road, Bengaluru 560038 India",777/I 100 Ft Road,777/I 100 Ft Road,Bengaluru,560038,Karnataka,,+91 98864 88439,12.87945,77.55967,,,,,,,Reservations Seating Parking Available Serves Alcohol Full Bar Table Service Live Music                      ,300.0,1.0,1,1,0,1,0,0,0,0,0
1131 Bar + Kitchen,Italian Indian Bar Mediterranean Asian Grill   ,"1131 was created as an easy going place to have a good - time any - time. The colours and the flavours, our choice of serving material and the plating style reflect our interpretation of "" Bella Vita""! Whether company social lunches or Biergarten nights under moonshine and the stars or just good times with loved ones and friends, we will always be the easy place for everyone!",₹600–800,4.0,30.0,,"1131, 100 Feet Rd Indira Nagar 2nd Stage, Bengaluru 560038 India",100 Feet Rd Indira Nagar 2nd Stage,1131,Bengaluru,560038,Karnataka,https://www.zomato.com/bangalore/1131-bar-kitchen-indiranagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4NDA3OTE4IiwiNTgyNjgiLCIxODM1MzEyNyIsIjU5MTMyIiwxODU4MDIwMiwiNTQzOTciLCIxODYwMzgyMiIsIjE4MTYyODY2IiwiMTg2MzE4MzkiLCI1Njc1MiIsIjU5MzMzIiwiMTgyNzUwNDgiLCI1MzEyNCIsIjE4Njg0NDMxIiwiMTg0MTQzODQiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIEluZGlyYW5hZ2FyIn19,+91 80 2520 1112,12.969852,77.641426,,0.0,4.0,41.0,127.0,81.0,Reservations Seating Serves Alcohol Table Service                         ,700.0,1.0,1,0,0,1,0,0,0,0,0
1376 Korean and Japanese Restaurant and Cafe,Asian restaurant,,₹400–600,4.4,182.0,210.0,"483, 1st Cross Rd, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095, India","KHB Colony, 5th Block, Koramangala","483, 1st Cross Rd",Bengaluru,560095.0,Karnataka,https://instagram.com/1376restaurant?igshid=MzMyNGUyNmU2YQ%3D%3D&utm_source=qr,+91 83104 21994,12.9337932,77.6190441,"[{'day': 'Monday', 'hours': 'Closed'}, {'day': 'Tuesday', 'hours': '12 to 10:30\u202fPM'}, {'day': 'Wednesday', 'hours': '12 to 10:30\u202fPM'}, {'day': 'Thursday', 'hours': '12 to 10:30\u202fPM'}, {'day': 'Friday', 'hours': '12 to 11\u202fPM'}, {'day': 'Saturday', 'hours': '12 to 11\u202fPM'}, {'day': 'Sunday', 'hours': '12 to 11\u202fPM'}]",20.0,0.0,7.0,21.0,134.0,Accepts reservations | Casual | Cozy | Credit cards | Curbside pickup | Debit cards | Delivery | Dessert | Dine-in | Dinner | Free street parking | Good for kids | Groups | Lunch | NFC mobile payments | No-contact delivery | Restroom | Small plates | Solo dining | Table service | Takeout | Trendy | Usually somewhat difficult to find a space,500.0,1.0,1,1,1,0,1,0,0,1,0
13th Floor Lounge Bar,Indian Bar Asian Thai     ,"Feted, lauded, celebrated, copied but never duplicated...these words best describe the 13 plus year old journey of The 13th Floor. Although the more popular way most of our patrons describe The 13th Floor is ...The view ! The view !! Oh-my-God ....the view!!! Saying that The 13th floor is a cocktail lounge is like saying that a Single Malt Scotch is a drink made from barley and water. A space that allows you to unwind with colleagues after a tough work-day, have night out on the town with the girls, chill out with that significant someone or even conduct a business discussion over drinks. Vast open spaces that are clad in glass and brushed steel to give guests a fully undiluted, unobstructed view of Bangalore city at their feet with the star spangled sky above. Music is played at conversation level volumes and is a mix of retro pop and rock ballads and lounge mixes. The spanking new Cocktail Menu is a heady mix of the contemporary re-working of old standards and the tried and tested. A great wine list and their unique way of putting together great wine and champagne cocktails ensures that even first-time tipplers have something to raise their glasses with.","₹800–1,000",4.0,498.0,,"84 Mahatma Gandhi Road, Bengaluru 560001 India",84 Mahatma Gandhi Road,84 Mahatma Gandhi Road,Bengaluru,560001,Karnataka,https://www.zomato.com/bangalore/the-13th-floor-mg-road?context=eyJzZSI6eyJlIjpbIjE4Nzc1ODIyIiwiMTg2NTUxOTAiLCIxODY4MDAzNSIsIjE4OTYzNjIwIiw1MDk3NSwiNTMxNjUiLCI1MDc0MiIsIjE4NDMwNzg1IiwiNTA0MDciLCI1MTU1MiIsIjE4NjgwODIxIiwiNTU5MDciLCI1MDg5MCIsIjUwNzA5IiwiNTU0MTkiLCI1MDQ5MyIsIjE4MjI0NjUwIiwiNTQwOTQiLCIxODMzOTg3NCIsIjUwODU3IiwiNTA0NjIiLCI1MDU2NSIsIjE4NDk0MDY0Il0sInQiOiJEaW5lLU91dCBSZXN0YXVyYW50cyBpbiBCcmlnYWRlIFJvYWQifX0=,+91 80 4178 3333,12.975408,77.605125,,0.0,10.0,19.0,83.0,36.0,Reservations Outdoor Seating Buffet Seating Parking Available Validated Parking Valet Parking Television Wheelchair Accessible Serves Alcohol Full Bar Accepts American Express Accepts Mastercard Accepts Visa Accepts Credit Cards Table Service             ,900.0,1.0,1,1,0,1,0,0,1,0,0
"1441 Pizzeria J.P, Nagar",Italian Pizza Fast Food      ,"1441 Pizzeria is one of its kind, traditional Italian Wood Fired Pizzeria with all of its food being made solely in the wood oven. The concept and menu has been designed and created by the Italian Pizza Master chef Renato Viola.The concept of 1441 is a quick casual pizzeria where you can make your own pizza from over 40 toppings, with 4 sauces, 4 cheese options and several veggies and meats.",₹200–400,3.0,1.0,,"1105, Archana Arcade, 24th Main Rd, 1st Phase, JP Nagar, Bengaluru, Bengaluru 560078 India",Bengaluru,1105,Bengaluru,560078,Karnataka,https://www.zomato.com/bangalore/1441-pizzeria-jp-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4Njg5NzU0IiwiMTg3NzQzNzAiLCIxODY2NTk0NiIsIjE4MzIzNjIwIiwxODg0ODE5MywiMTg1ODU2NzQiLCIxODU2NjEyMSIsIjE4NzQxODMzIiwiNTIwODgiLCI1MjI3MyIsIjUxNDU4IiwiMTg1NzE3ODgiLCI1MDYzNiIsIjE4NTQxMjU2IiwiMTg2MDI4MTUiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhc2F2YW5hZ3VkaSJ9fQ==,+91 82919 71441,12.915597,77.58598,,0.0,1.0,2.0,17.0,5.0,Delivery Takeout Seating Digital Payments Free Wifi Accepts Credit Cards                       ,300.0,0.0,0,0,1,1,1,0,0,0,0
1498 AD,        ,,,3.5,11.0,,"Ground Floor Near Vidhan Soudha Race Course Road, Bengaluru 560001 India",Ground Floor Near Vidhan Soudha Race Course Road,Ground Floor Near Vidhan Soudha Race Course Road,Bengaluru,560001,Karnataka,,+91 80 2220 5205,12.98445,77.5881,,,,,,,Seating Live Music                           ,300.0,0.0,0,0,0,1,0,0,0,0,0
1522,Bar Pub       ,,₹600–800,4.0,24.0,,"New Bel Road, North No. 23, Devaraja Arcade, New Bel Road, Msr Nagar, Bengaluru 560001 India",Msr Nagar,New Bel Road,Bengaluru,560001,Karnataka,https://www.zomato.com/bangalore/1522-the-pub-koramangala-4th-block?context=eyJzZSI6eyJlIjpbIjE4MjA4Mzg3IiwiMTg4NjM0MjAiLCIxODg4Mjg0MSIsIjE4NzAzNTg3Iiw2MTY4MSwiMTgxNDg5MzEiLCIxODYwNDI0OSIsIjE4Njg0MTM5IiwiNTA3MTYiLCIxODI0NjQ5NyIsIjE4MzY5ODU0IiwiNTg1MzYiLCI1Mzc4MiIsIjUwNDgxIiwiMTg2MDI4ODAiLCIxODUwMjE0MyIsIjE4NjA3NzE3Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBLb3JhbWFuZ2FsYSA0dGggQmxvY2sifX0=,+91 80 4853 7559,13.032636,77.56943,,4.0,11.0,14.0,42.0,14.0,Reservations Outdoor Seating Seating Table Service                         ,700.0,1.0,1,0,0,1,0,0,0,0,0
